datetime,load_mw,month,year
2024-01-07T14:00:00.000-0500,2192.951,1,2024
2024-01-07T15:00:00.000-0500,2171.489,1,2024
2024-01-07T16:00:00.000-0500,2159.989,1,2024
2024-01-07T17:00:00.000-0500,2235.985,1,2024
2024-01-07T18:00:00.000-0500,2343.968,1,2024
2024-01-07T19:00:00.000-0500,2319.363,1,2024
2024-01-07T20:00:00.000-0500,2233.752,1,2024
2024-01-07T21:00:00.000-0500,2131.632,1,2024
2024-01-07T22:00:00.000-0500,2012.363,1,2024
2024-01-07T23:00:00.000-0500,1878.804,1,2024
2024-01-08T00:00:00.000-0500,1765.156,1,2024
2024-01-08T01:00:00.000-0500,1681.568,1,2024
2024-01-08T02:00:00.000-0500,1638.993,1,2024
2024-01-08T03:00:00.000-0500,1625.299,1,2024
2024-01-08T04:00:00.000-0500,1635.817,1,2024
2024-01-08T05:00:00.000-0500,1684.101,1,2024
2024-01-08T06:00:00.000-0500,1789.963,1,2024
2024-01-08T07:00:00.000-0500,1968.514,1,2024
2024-01-08T08:00:00.000-0500,2110.955,1,2024
2024-01-08T09:00:00.000-0500,2200.463,1,2024
2024-01-08T10:00:00.000-0500,2208.842,1,2024
2024-01-08T11:00:00.000-0500,2197.499,1,2024
2024-01-08T12:00:00.000-0500,2182.106,1,2024
2024-01-08T13:00:00.000-0500,2151.903,1,2024
2024-01-08T14:00:00.000-0500,2126.006,1,2024
2024-01-08T15:00:00.000-0500,2113.869,1,2024
2024-01-08T16:00:00.000-0500,2131.972,1,2024
2024-01-08T17:00:00.000-0500,2238.996,1,2024
2024-01-08T18:00:00.000-0500,2353.483,1,2024
2024-01-08T19:00:00.000-0500,2342.559,1,2024
2024-01-08T20:00:00.000-0500,2297.432,1,2024
2024-01-08T21:00:00.000-0500,2216.508,1,2024
2024-01-08T22:00:00.000-0500,2110.646,1,2024
2024-01-08T23:00:00.000-0500,1975.741,1,2024
2024-01-09T00:00:00.000-0500,1856.085,1,2024
2024-01-09T01:00:00.000-0500,1782.284,1,2024
2024-01-09T02:00:00.000-0500,1748.083,1,2024
2024-01-09T03:00:00.000-0500,1733.623,1,2024
2024-01-09T04:00:00.000-0500,1748.246,1,2024
2024-01-09T05:00:00.000-0500,1797.225,1,2024
2024-01-09T06:00:00.000-0500,1924.833,1,2024
2024-01-09T07:00:00.000-0500,2122.961,1,2024
2024-01-09T08:00:00.000-0500,2249.214,1,2024
2024-01-09T09:00:00.000-0500,2283.618,1,2024
2024-01-09T10:00:00.000-0500,2293.893,1,2024
2024-01-09T11:00:00.000-0500,2301.425,1,2024
2024-01-09T12:00:00.000-0500,2298.523,1,2024
2024-01-09T13:00:00.000-0500,2285.095,1,2024
2024-01-09T14:00:00.000-0500,2270.218,1,2024
2024-01-09T15:00:00.000-0500,2243.706,1,2024
2024-01-09T16:00:00.000-0500,2267.868,1,2024
2024-01-09T17:00:00.000-0500,2340.875,1,2024
2024-01-09T18:00:00.000-0500,2394.17,1,2024
2024-01-09T19:00:00.000-0500,2361.193,1,2024
2024-01-09T20:00:00.000-0500,2292.965,1,2024
2024-01-09T21:00:00.000-0500,2191.481,1,2024
2024-01-09T22:00:00.000-0500,2055.465,1,2024
2024-01-09T23:00:00.000-0500,1892.27,1,2024
2024-01-10T00:00:00.000-0500,1758.79,1,2024
2024-01-10T01:00:00.000-0500,1664.731,1,2024
2024-01-10T02:00:00.000-0500,1609.869,1,2024
2024-01-10T03:00:00.000-0500,1578.04,1,2024
2024-01-10T04:00:00.000-0500,1562.901,1,2024
2024-01-10T05:00:00.000-0500,1587.86,1,2024
2024-01-10T06:00:00.000-0500,1700.89,1,2024
2024-01-10T07:00:00.000-0500,1878.125,1,2024
2024-01-10T08:00:00.000-0500,1982.436,1,2024
2024-01-10T09:00:00.000-0500,1987.827,1,2024
2024-01-10T10:00:00.000-0500,1933.485,1,2024
2024-01-10T11:00:00.000-0500,1906.77,1,2024
2024-01-10T12:00:00.000-0500,1920.329,1,2024
2024-01-10T13:00:00.000-0500,1953.307,1,2024
2024-01-10T14:00:00.000-0500,1867.702,1,2024
2024-01-10T15:00:00.000-0500,1897.355,1,2024
2024-01-10T16:00:00.000-0500,2002.284,1,2024
2024-01-10T17:00:00.000-0500,2122.191,1,2024
2024-01-10T18:00:00.000-0500,2220.264,1,2024
2024-01-10T19:00:00.000-0500,2193.706,1,2024
2024-01-10T20:00:00.000-0500,2124.684,1,2024
2024-01-10T21:00:00.000-0500,2038.124,1,2024
2024-01-10T22:00:00.000-0500,1925.642,1,2024
2024-01-10T23:00:00.000-0500,1790.17,1,2024
2024-01-11T00:00:00.000-0500,1665.125,1,2024
2024-01-11T01:00:00.000-0500,1606.814,1,2024
2024-01-11T02:00:00.000-0500,1554.89,1,2024
2024-01-11T03:00:00.000-0500,1537.014,1,2024
2024-01-11T04:00:00.000-0500,1534.506,1,2024
2024-01-11T05:00:00.000-0500,1584.001,1,2024
2024-01-11T06:00:00.000-0500,1707.979,1,2024
2024-01-11T07:00:00.000-0500,1911.458,1,2024
2024-01-11T08:00:00.000-0500,2040.632,1,2024
2024-01-11T09:00:00.000-0500,2052.073,1,2024
2024-01-11T10:00:00.000-0500,1979.322,1,2024
2024-01-11T11:00:00.000-0500,1917.58,1,2024
2024-01-11T12:00:00.000-0500,1896.054,1,2024
2024-01-11T13:00:00.000-0500,1981.869,1,2024
2024-01-11T14:00:00.000-0500,2038.436,1,2024
2024-01-11T15:00:00.000-0500,2029.755,1,2024
2024-01-11T16:00:00.000-0500,2050.217,1,2024
2024-01-11T17:00:00.000-0500,2139.566,1,2024
2024-01-11T18:00:00.000-0500,2240.671,1,2024
2024-01-11T19:00:00.000-0500,2217.778,1,2024
2024-01-11T20:00:00.000-0500,2157.269,1,2024
2024-01-11T21:00:00.000-0500,2076.961,1,2024
2024-01-11T22:00:00.000-0500,1970.033,1,2024
2024-01-11T23:00:00.000-0500,1821.142,1,2024
2024-01-12T00:00:00.000-0500,1708.115,1,2024
2024-01-12T01:00:00.000-0500,1636.1,1,2024
2024-01-12T02:00:00.000-0500,1592.957,1,2024
2024-01-12T03:00:00.000-0500,1570.175,1,2024
2024-01-12T04:00:00.000-0500,1567.791,1,2024
2024-01-12T05:00:00.000-0500,1611.672,1,2024
2024-01-12T06:00:00.000-0500,1733.365,1,2024
2024-01-12T07:00:00.000-0500,1933.7,1,2024
2024-01-12T08:00:00.000-0500,2048.479,1,2024
